Quote,Author,Book,Tags,Likes,Page
“Be yourself; everyone else is already taken.”,Oscar Wilde,N/A,,176333 likes,1
"“I'm selfish, impatient and a little insecure. I make mistakes, I am out of control and at times hard to handle. But if you can't handle me at my worst, then you sure as hell don't deserve me at my best.”",Marilyn Monroe,N/A,,164890 likes,1
"“So many books, so little time.”",Frank Zappa,N/A,,150808 likes,1
“Two things are infinite: the universe and human stupidity; and I'm not sure about the universe.”,Albert Einstein,N/A,,148079 likes,1
“A room without books is like a body without a soul.”,Marcus Tullius Cicero,N/A,,135225 likes,1
"“Be who you are and say what you feel, because those who mind don't matter, and those who matter don't mind.”",Bernard M. Baruch,N/A,,129914 likes,1
"“You've gotta dance like there's nobody watching,Love like you'll never be hurt,Sing like there's nobody listening,And live like it's heaven on earth.”",William W. Purkey,N/A,,128644 likes,1
“You know you're in love when you can't fall asleep because reality is finally better than your dreams.”,Dr. Seuss,N/A,,126816 likes,1
"“You only live once, but if you do it right, once is enough.”",Mae West,N/A,,118840 likes,1
“Be the change that you wish to see in the world.”,Mahatma Gandhi,N/A,,114236 likes,1
“In three words I can sum up everything I've learned about life: it goes on.”,Robert Frost,N/A,,109134 likes,1
"“If you want to know what a man's like, take a good look at how he treats his inferiors, not his equals.”","J.K. Rowling,",Harry Potter and the Goblet of Fire,,101505 likes,1
“Don’t walk in front of me… I may not followDon’t walk behind me… I may not leadWalk beside me… just be my friend”,Albert Camus,N/A,,93381 likes,1
"“If you tell the truth, you don't have to remember anything.”",Mark Twain,N/A,,91999 likes,1
"“I've learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel.”",Maya Angelou,N/A,,88859 likes,1
“Friendship ... is born at the moment when one man says to another What! You too? I thought that no one but myself . . .”,"C.S. Lewis,",The Four Loves,,88042 likes,1
"“To live is the rarest thing in the world. Most people exist, that is all.”",Oscar Wilde,N/A,,84674 likes,1
“A friend is someone who knows all about you and still loves you.”,Elbert Hubbard,N/A,,84194 likes,1
“Always forgive your enemies; nothing annoys them so much.”,Oscar Wilde,N/A,,81692 likes,1
“Darkness cannot drive out darkness: only light can do that. Hate cannot drive out hate: only love can do that.”,"Martin Luther King Jr.,",A Testament of Hope: The Essential Writings and Speeches,,78209 likes,1
“Live as if you were to die tomorrow. Learn as if you were to live forever.”,Mahatma Gandhi,N/A,,77663 likes,1
“We accept the love we think we deserve.”,"Stephen Chbosky,",The Perks of Being a Wallflower,,76273 likes,1
"“Without music, life would be a mistake.”","Friedrich Nietzsche,",Twilight of the Idols,,74196 likes,1
“I am so clever that sometimes I don't understand a single word of what I am saying.”,"Oscar Wilde,",The Happy Prince and Other Stories,,71608 likes,1
“To be yourself in a world that is constantly trying to make you something else is the greatest accomplishment.”,Ralph Waldo Emerson,N/A,,69566 likes,1
"“Here's to the crazy ones. The misfits. The rebels. The troublemakers. The round pegs in the square holes. The ones who see things differently. They're not fond of rules. And they have no respect for the status quo. You can quote them, disagree with them, glorify or vilify them. About the only thing...",Steve Jobs,N/A,,68124 likes,1
"“Insanity is doing the same thing, over and over again, but expecting different results.”",Narcotics Anonymous,N/A,,64581 likes,1
"“I believe that everything happens for a reason. People change so that you can learn to let go, things go wrong so that you appreciate them when they're right, you believe lies so you eventually learn to trust no one but yourself, and sometimes good things fall apart so better things can fall togeth...",Marilyn Monroe,N/A,,62074 likes,1
“It is better to be hated for what you are than to be loved for what you are not.”,"Andre Gide,",Autumn Leaves,,62049 likes,1
